Id_comuna;Id_comisaria;Nombre_comisaria;DirecciÛn;Fono;;Tipo;;;;;
5101;;TENENCIA RODELILLO;RODELILLO S/N;32 - 3132160;;TENENCIA;;;;;
5101;;TENENCIA OHIGGINS;AV. JORGE KENRICK N 107 CERRO SAN ROQUE;32 - 3132157;;TENENCIA;;;;;
5101;;RETEN CABO 1∞ JUAN CARLOS SILVA TORO;CABRITERIA NORTE N 2225;32 - 3132164;;RETEN;;;;;
5101;;7A. COMISARÕA FF.EE. VALPARAÕSO;RUTA 68 KM. 4 1/2 S/N SANTOS OSSA;32 - 3132227;;COMISARIA;;;;;
5101;;TENENCIA CARRETERA VALPARAISO;RUTA 68 95200;32 - 3132178;;TENENCIA;;;;;
5101;;RETEN PLACILLA PE—UELAS;ANTONIO SAMORE S/N;32 - 2 3132163;;RETEN;;;;;
5101;;RETEN LAGUNA VERDE;PRINCIPAL S/N;32 - 2 3132117;;RETEN;;;;;
5102;;RETEN QUINTAY;JORGE MONTT S/N;32 - 3132200;;RETEN;;;;;
5102;;5A COMISARIA DE CASABLANCA;CALLE MEMBRILLAR N 125;32 - 3132181;;COMISARIA;;;;;
5103;;4A. COMISARIA CONCON;AVENIDA MANANTIALES N 933;32 - 3132570;;COMISARIA;;;;;
5105;;RETEN MAITENCILLO;PADRE ENRIQUE DEL RIO N 463;32 - 3132413;;RETEN;;;;;
5105;;TENENCIA PUCHUNCAVI;PRESIDENTE RIOS N 920;32 - 3132410;;TENENCIA;;;;;
5105;;RETEN HORCON;AVENIDA PRINCIPAL N 803;32 - 3132414;;RETEN;;;;;
5105;;RETEN LAS VENTANAS;PEDRO ALDUNATE SOLAR N 1028;32 - 3132415;;RETEN;;;;;
5107;;SUBCOMISARÕA QUINTERO;AVENIDA. FRANCIA N 1341;32 - 3132402;;SUBCOMISARIA;;;;;
5109;;TENENCIA RE—ACA;BELLAVISTA S/N;32 - 3132383;;TENENCIA;;;;;
5109;;TENENCIA RE—ACA ALTO;CALLE NUEVE N 925, PARADERO 8 1/2;32 - 3132460;;TENENCIA;;;;;
5109;;SUBCOMISARÕA GOMEZ CARRE—O;AV. PACIFICO S/N;32 - 3132395;;SUBCOMISARIA;;;;;
5109;;5A. COMISARÕA DE VI—A DEL MAR (S.U.);CALLE EL LUCUMO N 2875, MIRAFLORES;32 - 3132353;;COMISARIA;;;;;
5109;;1A. COMISARÕA DE VI—A DEL MAR;4 NORTE N 320;32 - 3132303;;COMISARIA;;;;;
5109;;RETEN PALACIO PRESIDENCIAL;CALLAO N 398;32 - 3132500;;RETEN;;;;;
5109;;TENENCIA FORESTAL;SIMON BOLIVAR N∞ 354;32-3132480;;TENENCIA;;;;;
5109;;TENENCIA RECREO;18 DE SEPTIEMBRE N 298;32 - 3132386;;TENENCIA;;;;;
5109;;TENENCIA NUEVA AURORA;CALLE BORINQUEN S/N;32 - 3132392;;TENENCIA;;;;;
5201;;6A. COMISARÕA DE ISLA DE PASCUA;AV. MATAVERI S/N;32 - 3132600;;COMISARIA;;;;;
5201;;TENENCIA ASIST.MENORES ISLA PASCUA;MANUTARA S/N;32 - 3132224;;TENENCIA;;;;;
5301;;SUBCOMISARÕA LOS LIBERTADORES (F);RUTA CH-60 KM 107;34 - 2 334097;;SUBCOMISARIA;;;;;
5301;;3A. COMISARÕA LOS ANDES;AVENIDA SANTA TERESA N 491;34 - 2334079;;COMISARIA;;;;;
